url,dsn,vsilist
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_GLENORCHY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_GLENORCHY.zip,municipality_glenorchy.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_HOBART.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_HOBART.zip,list_future_potential_production_forest_hobart.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_HOBART.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_HOBART.zip,municipality_hobart.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_HUON_VALLEY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_HUON_VALLEY.zip,list_future_potential_production_forest_huon_valley.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_HUON_VALLEY.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_HUON_VALLEY.zip,municipality_huon_valley.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KENTISH.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KENTISH.zip,list_future_potential_production_forest_kentish.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KENTISH.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KENTISH.zip,municipality_kentish.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KINGBOROUGH.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KINGBOROUGH.zip,list_future_potential_production_forest_kingborough.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KINGBOROUGH.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KINGBOROUGH.zip,municipality_kingborough.gdb
https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KING_ISLAND.zip,/vsizip//vsicurl/https://listdata.thelist.tas.gov.au/opendata/data/LIST_FUTURE_POTENTIAL_PRODUCTION_FOREST_KING_ISLAND.zip,list_future_potential_production_forest_king_island.gdb
